id,text,cleaned_text,tagged_text,lid_sequence,sentiment,label,platform,source,n_sinhala,n_english,n_emoji,cmi,is_code_mixed
1603,yako meka buru kiya kiya baro baro gannawane kakka barada muta,yako meka buru kiya kiya baro baro gannawane kakka barada muta,yako[EN] meka[EN] buru[EN] kiya[EN] kiya[EN] baro[EN] baro[EN] gannawane[EN] kakka[EN] barada[EN] muta[EN],EN EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,zjFMXRAOWH4,0,11,0,0.0,False
2912,niyamai me සින්දුව vibe eka maru,niyamai me සින්දුව vibe eka maru,niyamai[EN] me[EN] සින්දුව[SI] vibe[EN] eka[EN] maru[EN],EN EN SI EN EN EN,positive,0,youtube,giBOKJ9xatU,1,5,0,0.1667,True
4335,Mokkd yako jawarama manussayekta mona hari deyak me kale ganna puluwan eka loku deyak,Mokkd yako jawarama manussayekta mona hari deyak me kale ganna puluwan eka loku deyak,Mokkd[EN] yako[EN] jawarama[EN] manussayekta[EN] mona[EN] hari[EN] deyak[EN] me[EN] kale[EN] ganna[EN] puluwan[EN] eka[EN] loku[EN] deyak[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,facebook,Hiru Gossip,0,14,0,0.0,False
5284,Me news eka aththa da danne ne,Me news eka aththa da danne ne,Me[EN] news[EN] eka[EN] aththa[EN] da[EN] danne[EN] ne[EN],EN EN EN EN EN EN EN,neutral,2,facebook,Hiru Gossip,0,7,0,0.0,False
895,hariyatama balala order danna matanm kawadawath awlak wela podi de unath hariyatama ewanawa,hariyatama balala order danna matanm kawadawath awlak wela podi de unath hariyatama ewanawa,hariyatama[EN] balala[EN] order[EN] danna[EN] matanm[EN] kawadawath[EN] awlak[EN] wela[EN] podi[EN] de[EN] unath[EN] hariyatama[EN] ewanawa[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,SOaNw2qrK6M,0,13,0,0.0,False
4496,Janadhipathi eliyata enne election promotion walata witharai,Janadhipathi eliyata enne election promotion walata witharai,Janadhipathi[EN] eliyata[EN] enne[EN] election[EN] promotion[EN] walata[EN] witharai[EN],EN EN EN EN EN EN EN,negative,1,facebook,NewsFirst Sri Lanka,0,7,0,0.0,False
5863,Aye hamuduruwoth lankawata enne na wage,Aye hamuduruwoth lankawata enne na wage,Aye[EN] hamuduruwoth[EN] lankawata[EN] enne[EN] na[EN] wage[EN],EN EN EN EN EN EN,negative,1,facebook,Social Media Feed,0,6,0,0.0,False
2979,warada gana hithala newei police aya gana hithala kiyala comment dala thiyenne,warada gana hithala newei police aya gana hithala kiyala comment dala thiyenne,warada[EN] gana[EN] hithala[EN] newei[EN] police[EN] aya[EN] gana[EN] hithala[EN] kiyala[EN] comment[EN] dala[EN] thiyenne[EN],EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,jbkuqT7k3Bg,0,12,0,0.0,False
826,well said sister me ballanta maraneeya danduwama denna ona,well said sister me ballanta maraneeya danduwama denna ona,well[EN] said[EN] sister[EN] me[EN] ballanta[EN] maraneeya[EN] danduwama[EN] denna[EN] ona[EN],EN EN EN EN EN EN EN EN EN,negative,1,youtube,AfYJ3Wy4Z3c,0,9,0,0.0,False
4165,Minissu sathunwa danawa parata ehema karana aya hata punish karanna one,Minissu sathunwa danawa parata ehema karana aya hata punish karanna one,Minissu[EN] sathunwa[EN] danawa[EN] parata[EN] ehema[EN] karana[EN] aya[EN] hata[EN] punish[EN] karanna[EN] one[EN],EN EN EN EN EN EN EN EN EN EN EN,negative,1,facebook,වි චා ර ක යා,0,11,0,0.0,False
2707,etta nehuna genapu talent ekane aran yanne,etta nehuna genapu talent ekane aran yanne,etta[EN] nehuna[EN] genapu[EN] talent[EN] ekane[EN] aran[EN] yanne[EN],EN EN EN EN EN EN EN,positive,0,youtube,tdB0BZ_8z2M,0,7,0,0.0,False
3665,mage babata age 7 eya harima asai oya dennagen videos walata harima lovely matching couple ekak,mage babata age 7 eya harima asai oya dennagen videos walata harima lovely matching couple ekak,mage[EN] babata[EN] age[EN] 7[NUM] eya[EN] harima[EN] asai[EN] oya[EN] dennagen[EN] videos[EN] walata[EN] harima[EN] lovely[EN] matching[EN] couple[EN] ekak[EN],EN EN EN NUM EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,akVPGPY1Iuk,0,15,0,0.0,False
1370,oyage kata hadaa ahanakota hitha niwenawa prashna amathaka wenawa oyata godak pin,oyage kata hadaa ahanakota hitha niwenawa prashna amathaka wenawa oyata godak pin,oyage[EN] kata[EN] hadaa[EN] ahanakota[EN] hitha[EN] niwenawa[EN] prashna[EN] amathaka[EN] wenawa[EN] oyata[EN] godak[EN] pin[EN],EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,GhQmrW4LoBQ,0,12,0,0.0,False
366,oke movie eka mama baluwa adath maru,oke movie eka mama baluwa adath maru,oke[EN] movie[EN] eka[EN] mama[EN] baluwa[EN] adath[EN] maru[EN],EN EN EN EN EN EN EN,neutral,2,youtube,TDBbX0AsYi0,0,7,0,0.0,False
4751,Naya polaga ekka set unama fight ekak wenna thibba,Naya polaga ekka set unama fight ekak wenna thibba,Naya[EN] polaga[EN] ekka[EN] set[EN] unama[EN] fight[EN] ekak[EN] wenna[EN] thibba[EN],EN EN EN EN EN EN EN EN EN,neutral,2,facebook,Hiru Gossip,0,9,0,0.0,False
4928,Api monawa hari karamu etin,Api monawa hari karamu etin,Api[EN] monawa[EN] hari[EN] karamu[EN] etin[EN],EN EN EN EN EN,neutral,2,facebook,Hiru Gossip,0,5,0,0.0,False
3942,mata kama uyanna ba gedara dore wada karaganna amarui,mata kama uyanna ba gedara dore wada karaganna amarui,mata[EN] kama[EN] uyanna[EN] ba[EN] gedara[EN] dore[EN] wada[EN] karaganna[EN] amarui[EN],EN EN EN EN EN EN EN EN EN,negative,1,youtube,q-wazEOUr-s,0,9,0,0.0,False
3195,ballatath puduma hithila matath kasadayak athnam kiyala hithenawa athi utath,ballatath puduma hithila matath kasadayak athnam kiyala hithenawa athi utath,ballatath[EN] puduma[EN] hithila[EN] matath[EN] kasadayak[EN] athnam[EN] kiyala[EN] hithenawa[EN] athi[EN] utath[EN],EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,AO4xSjleAOM,0,10,0,0.0,False
4479,Api wenas wenna one kiyala hithanna,Api wenas wenna one kiyala hithanna,Api[EN] wenas[EN] wenna[EN] one[EN] kiyala[EN] hithanna[EN],EN EN EN EN EN EN,positive,0,facebook,Ramesh Silva,0,6,0,0.0,False
3478,daraz ekken newei oya wena company ekak,daraz ekken newei oya wena company ekak,daraz[EN] ekken[EN] newei[EN] oya[EN] wena[EN] company[EN] ekak[EN],EN EN EN EN EN EN EN,neutral,2,youtube,MP95e4U33SI,0,7,0,0.0,False
4705,Munge demapiyoth gewal wala ohoma athi laggawa baya na,Munge demapiyoth gewal wala ohoma athi laggawa baya na,Munge[EN] demapiyoth[EN] gewal[EN] wala[EN] ohoma[EN] athi[EN] laggawa[EN] baya[EN] na[EN],EN EN EN EN EN EN EN EN EN,negative,1,facebook,Travel Weekend,0,9,0,0.0,False
1641,kawru monava kiwwath oyage gamana oya yanna hithvala kunu thiyena unge hith wenas karanna baha,kawru monava kiwwath oyage gamana oya yanna hithvala kunu thiyena unge hith wenas karanna baha,kawru[EN] monava[EN] kiwwath[EN] oyage[EN] gamana[EN] oya[EN] yanna[EN] hithvala[EN] kunu[EN] thiyena[EN] unge[EN] hith[EN] wenas[EN] karanna[EN] baha[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,lhAaXVYT4es,0,15,0,0.0,False
5245,Lankawe prabala cricket kridakayo na kiyana eka aththa,Lankawe prabala cricket kridakayo na kiyana eka aththa,Lankawe[EN] prabala[EN] cricket[EN] kridakayo[EN] na[EN] kiyana[EN] eka[EN] aththa[EN],EN EN EN EN EN EN EN EN,negative,1,facebook,Hiru Gossip,0,8,0,0.0,False
652,ayata api godak respect karanawa ayage jeewithaye siyalu balaporoththu ishta wewa,ayata api godak respect karanawa ayage jeewithaye siyalu balaporoththu ishta wewa,ayata[EN] api[EN] godak[EN] respect[EN] karanawa[EN] ayage[EN] jeewithaye[EN] siyalu[EN] balaporoththu[EN] ishta[EN] wewa[EN],EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,bOtjlhwEffo,0,11,0,0.0,False
3578,anusha aiyee uba mage viraya oyata suba,anusha aiyee uba mage viraya oyata suba,anusha[EN] aiyee[EN] uba[EN] mage[EN] viraya[EN] oyata[EN] suba[EN],EN EN EN EN EN EN EN,positive,0,youtube,FTjMCC3VeLg,0,7,0,0.0,False
443,mount kailash gana vidio ekak karanna mystry place ekak  indian army eke inna supirima waddo marcos commandos  eyala pawa yanna bayai ethanata,mount kailash gana vidio ekak karanna mystry place ekak indian army eke inna supirima waddo marcos commandos eyala pawa yanna bayai ethanata,mount[EN] kailash[EN] gana[EN] vidio[EN] ekak[EN] karanna[EN] mystry[EN] place[EN] ekak[EN] indian[EN] army[EN] eke[EN] inna[EN] supirima[EN] waddo[EN] marcos[EN] commandos[EN] eyala[EN] pawa[EN] yanna[EN] bayai[EN] ethanata[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,ObQNcnysLmw,0,22,0,0.0,False
163,මේකට මම කිව්වා දැන් අවු ගාණකට කලින් taco bell එකේ රිවීව් එකක් කරපන් කියලා ඒක කරේ නෑ දැන් මූට ස්පොන්සර් කරන්නැති නිසා bad things කරන්නෙ,මේකට මම කිව්වා දැන් අවු ගාණකට කලින් taco bell එකේ රිවීව් එකක් කරපන් කියලා ඒක කරේ නෑ දැන් මූට ස්පොන්සර් කරන්නැති නිසා bad things කරන්නෙ,මේකට[SI] මම[SI] කිව්වා[SI] දැන්[SI] අවු[SI] ගාණකට[SI] කලින්[SI] taco[EN] bell[EN] එකේ[SI] රිවීව්[SI] එකක්[SI] කරපන්[SI] කියලා[SI] ඒක[SI] කරේ[SI] නෑ[SI] දැන්[SI] මූට[SI] ස්පොන්සර්[SI] කරන්නැති[SI] නිසා[SI] bad[EN] things[EN] කරන්නෙ[SI],SI SI SI SI SI SI SI EN EN SI SI SI SI SI SI SI SI SI SI SI SI SI EN EN SI,negative,1,youtube,zj1ou3jejHo,21,4,0,0.16,True
4008,depression migraine එකට තියෙන කෙනෙක් පුදඅ දුකක විදින්නෙ,depression migraine එකට තියෙන කෙනෙක් පුදඅ දුකක විදින්නෙ,depression[EN] migraine[EN] එකට[SI] තියෙන[SI] කෙනෙක්[SI] පුදඅ[SI] දුකක[SI] විදින්නෙ[SI],EN EN SI SI SI SI SI SI,negative,1,youtube,WvWXAZKt8mk,6,2,0,0.25,True
2311,video eka balala mage jeewitheta godak watinawa thanks,video eka balala mage jeewitheta godak watinawa thanks,video[EN] eka[EN] balala[EN] mage[EN] jeewitheta[EN] godak[EN] watinawa[EN] thanks[EN],EN EN EN EN EN EN EN EN,positive,0,youtube,k7ZRvzhKVfc,0,8,0,0.0,False
1428,mage hitata loku haiyak awa meka ahala,mage hitata loku haiyak awa meka ahala,mage[EN] hitata[EN] loku[EN] haiyak[EN] awa[EN] meka[EN] ahala[EN],EN EN EN EN EN EN EN,positive,0,youtube,Uc9lRDasCpQ,0,7,0,0.0,False
730,godak pin me wage deyak samaja gatha karana ekata mama 21 years eth mewa dakkiddi budu dhahamata thawath asa hithenawa,godak pin me wage deyak samaja gatha karana ekata mama 21 years eth mewa dakkiddi budu dhahamata thawath asa hithenawa,godak[EN] pin[EN] me[EN] wage[EN] deyak[EN] samaja[EN] gatha[EN] karana[EN] ekata[EN] mama[EN] 21[NUM] years[EN] eth[EN] mewa[EN] dakkiddi[EN] budu[EN] dhahamata[EN] thawath[EN] asa[EN] hithenawa[EN],EN EN EN EN EN EN EN EN EN EN NUM EN EN EN EN EN EN EN EN EN,positive,0,youtube,3vZbh2wOouc,0,19,0,0.0,False
4153,Api puluwan widiyata street dogs balagamu,Api puluwan widiyata street dogs balagamu,Api[EN] puluwan[EN] widiyata[EN] street[EN] dogs[EN] balagamu[EN],EN EN EN EN EN EN,positive,0,facebook,වි චා ර ක යා,0,6,0,0.0,False
2536,හරිම සතුටුයි රට වෙනුවෙන් මෙහෙම හිතන අය පාර්ලිමේන්තුවෙ ඉන්න එක අපි බලාපොරොත්තු වෙනව මේ අය හැමදාම මේ අරමුනේම ඉදීවි කියල මම ජපානෙ ඉන්නෙ මෙහේ දරුවො vip සැලකිලි ලබන්නෙ මොන ආන්ඩුව ආවත් මේ interview එකේදි ඇහුන දරුවන්ගෙ ol ගැන ආන්ඩුව හිතපු හැටි ඇත්තටම හරිම සතුටුයි ලන්කාවෙ දරුවො ගැන එහෙම හිතන මිනිස්සු බලයෙ ඉන්න එක මීට කලින් විබාග අස්සෙ වර්ජන විදුලිය කප්පදු කිරීම් කොයිතරම් කරාද කලින් අය,හරිම සතුටුයි රට වෙනුවෙන් මෙහෙම හිතන අය පාර්ලිමේන්තුවෙ ඉන්න එක අපි බලාපොරොත්තු වෙනව මේ අය හැමදාම මේ අරමුනේම ඉදීවි කියල මම ජපානෙ ඉන්නෙ මෙහේ දරුවො vip සැලකිලි ලබන්නෙ මොන ආන්ඩුව ආවත් මේ interview එකේදි ඇහුන දරුවන්ගෙ ol ගැන ආන්ඩුව හිතපු හැටි ඇත්තටම හරිම සතුටුයි ලන්කාවෙ දරුවො ගැන එහෙම හිතන මිනිස්සු බලයෙ ඉන්න එක මීට කලින් විබාග අස්සෙ වර්ජන විදුලිය කප්පදු කිරීම් කොයිතරම් කරාද කලින් අය,හරිම[SI] සතුටුයි[SI] රට[SI] වෙනුවෙන්[SI] මෙහෙම[SI] හිතන[SI] අය[SI] පාර්ලිමේන්තුවෙ[SI] ඉන්න[SI] එක[SI] අපි[SI] බලාපොරොත්තු[SI] වෙනව[SI] මේ[SI] අය[SI] හැමදාම[SI] මේ[SI] අරමුනේම[SI] ඉදීවි[SI] කියල[SI] මම[SI] ජපානෙ[SI] ඉන්නෙ[SI] මෙහේ[SI] දරුවො[SI] vip[EN] සැලකිලි[SI] ලබන්නෙ[SI] මොන[SI] ආන්ඩුව[SI] ආවත්[SI] මේ[SI] interview[EN] එකේදි[SI] ඇහුන[SI] දරුවන්ගෙ[SI] ol[EN] ගැන[SI] ආන්ඩුව[SI] හිතපු[SI] හැටි[SI] ඇත්තටම[SI] හරිම[SI] සතුටුයි[SI] ලන්කාවෙ[SI] දරුවො[SI] ගැන[SI] එහෙම[SI] හිතන[SI] මිනිස්සු[SI] බලයෙ[SI] ඉන්න[SI] එක[SI] මීට[SI] කලින්[SI] විබාග[SI] අස්සෙ[SI] වර්ජන[SI] විදුලිය[SI] කප්පදු[SI] කිරීම්[SI] කොයිතරම්[SI] කරාද[SI] කලින්[SI] අය[SI],SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI EN SI SI SI SI SI SI EN SI SI SI EN SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI SI,neutral,2,youtube,R9ZKk0W2zvA,62,3,0,0.0462,True
4481,Janathawa ruwattanna epa kiyala kiyanawa,Janathawa ruwattanna epa kiyala kiyanawa,Janathawa[EN] ruwattanna[EN] epa[EN] kiyala[EN] kiyanawa[EN],EN EN EN EN EN,negative,1,facebook,Ramesh Silva,0,5,0,0.0,False
3762,anushka broo piyumiwa danenne nathi wenna lassanata bait kola,anushka broo piyumiwa danenne nathi wenna lassanata bait kola,anushka[EN] broo[EN] piyumiwa[EN] danenne[EN] nathi[EN] wenna[EN] lassanata[EN] bait[EN] kola[EN],EN EN EN EN EN EN EN EN EN,positive,0,youtube,cdd9g3VDpxo,0,9,0,0.0,False
1877,hariyatama balala order danna matanm kawadawath awlak wela podi de unath hariyatama ewanawa,hariyatama balala order danna matanm kawadawath awlak wela podi de unath hariyatama ewanawa,hariyatama[EN] balala[EN] order[EN] danna[EN] matanm[EN] kawadawath[EN] awlak[EN] wela[EN] podi[EN] de[EN] unath[EN] hariyatama[EN] ewanawa[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,SOaNw2qrK6M,0,13,0,0.0,False
735,dan inna nonala nidahasa hoyagena yanne spa walata,dan inna nonala nidahasa hoyagena yanne spa walata,dan[EN] inna[EN] nonala[EN] nidahasa[EN] hoyagena[EN] yanne[EN] spa[EN] walata[EN],EN EN EN EN EN EN EN EN,negative,1,youtube,Fy0WaxG69TM,0,8,0,0.0,False
3663,janaki nangi oya natural godak lassanai oya nithara kelani pansal enawa mama dekala thiyanawa,janaki nangi oya natural godak lassanai oya nithara kelani pansal enawa mama dekala thiyanawa,janaki[EN] nangi[EN] oya[EN] natural[EN] godak[EN] lassanai[EN] oya[EN] nithara[EN] kelani[EN] pansal[EN] enawa[EN] mama[EN] dekala[EN] thiyanawa[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,_zy3kHioA5U,0,14,0,0.0,False
4257,Awlak na oyata kohomada,Awlak na oyata kohomada,Awlak[EN] na[EN] oyata[EN] kohomada[EN],EN EN EN EN,neutral,2,facebook,Hiru Gossip,0,4,0,0.0,False
5181,Pissu,Pissu,Pissu[EN],EN,negative,1,facebook,Hiru Gossip,0,1,0,0.0,False
2786,sama asuna kiwwata poddak asane pahathin thiyenne sannasgala sir ge,sama asuna kiwwata poddak asane pahathin thiyenne sannasgala sir ge,sama[EN] asuna[EN] kiwwata[EN] poddak[EN] asane[EN] pahathin[EN] thiyenne[EN] sannasgala[EN] sir[EN] ge[EN],EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,GawiXQU9GBU,0,10,0,0.0,False
3313,sex fetishism thiyena aya genath saadaranawa hithanna ooni legal marriage ekak nokara living together inna aya innawa,sex fetishism thiyena aya genath saadaranawa hithanna ooni legal marriage ekak nokara living together inna aya innawa,sex[EN] fetishism[EN] thiyena[EN] aya[EN] genath[EN] saadaranawa[EN] hithanna[EN] ooni[EN] legal[EN] marriage[EN] ekak[EN] nokara[EN] living[EN] together[EN] inna[EN] aya[EN] innawa[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,AO4xSjleAOM,0,17,0,0.0,False
4464,Horu ekama thanakin haduna ganna puluwan avastha,Horu ekama thanakin haduna ganna puluwan avastha,Horu[EN] ekama[EN] thanakin[EN] haduna[EN] ganna[EN] puluwan[EN] avastha[EN],EN EN EN EN EN EN EN,negative,1,facebook,Ramesh Silva,0,7,0,0.0,False
2287,ane manda magak dura yaddima ninda giya thanks ninda noyana mt nindak genalla dunnata,ane manda magak dura yaddima ninda giya thanks ninda noyana mt nindak genalla dunnata,ane[EN] manda[EN] magak[EN] dura[EN] yaddima[EN] ninda[EN] giya[EN] thanks[EN] ninda[EN] noyana[EN] mt[EN] nindak[EN] genalla[EN] dunnata[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN,positive,0,youtube,GhQmrW4LoBQ,0,14,0,0.0,False
2930,merila nam kochchara unath paw hebei kollonta karana balu wada walata hena walata thamai ohoma wenne,merila nam kochchara unath paw hebei kollonta karana balu wada walata hena walata thamai ohoma wenne,merila[EN] nam[EN] kochchara[EN] unath[EN] paw[EN] hebei[EN] kollonta[EN] karana[EN] balu[EN] wada[EN] walata[EN] hena[EN] walata[EN] thamai[EN] ohoma[EN] wenne[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,negative,1,youtube,jbkuqT7k3Bg,0,16,0,0.0,False
2201,mata oyawa contact karaganna number akak denna puluwanda,mata oyawa contact karaganna number akak denna puluwanda,mata[EN] oyawa[EN] contact[EN] karaganna[EN] number[EN] akak[EN] denna[EN] puluwanda[EN],EN EN EN EN EN EN EN EN,neutral,2,youtube,QL2J3Va-fJM,0,8,0,0.0,False
5749,Meyath dang rata yanda selasumak karanawada manda,Meyath dang rata yanda selasumak karanawada manda,Meyath[EN] dang[EN] rata[EN] yanda[EN] selasumak[EN] karanawada[EN] manda[EN],EN EN EN EN EN EN EN,neutral,2,facebook,source_page,0,7,0,0.0,False
2647,pora kiyanne paripalane ekka meka karanna ba kiyala atharin pathara match ekak dinnata meka hariyanne na porage kathawa thamai lankawe cricket wala sabaa thathwaya,pora kiyanne paripalane ekka meka karanna ba kiyala atharin pathara match ekak dinnata meka hariyanne na porage kathawa thamai lankawe cricket wala sabaa thathwaya,pora[EN] kiyanne[EN] paripalane[EN] ekka[EN] meka[EN] karanna[EN] ba[EN] kiyala[EN] atharin[EN] pathara[EN] match[EN] ekak[EN] dinnata[EN] meka[EN] hariyanne[EN] na[EN] porage[EN] kathawa[EN] thamai[EN] lankawe[EN] cricket[EN] wala[EN] sabaa[EN] thathwaya[EN],EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN EN,negative,1,youtube,AwD_PLNEqa8,0,24,0,0.0,False
2337,man den hithanne man gena witharai giya unta wadak ne,man den hithanne man gena witharai giya unta wadak ne,man[EN] den[EN] hithanne[EN] man[EN] gena[EN] witharai[EN] giya[EN] unta[EN] wadak[EN] ne[EN],EN EN EN EN EN EN EN EN EN EN,neutral,2,youtube,Uc9lRDasCpQ,0,10,0,0.0,False
