id,manual,new_label,verdict
7949,singlish,english,SOFT
7960,singlish,english,SOFT
8020,singlish,english,SOFT
8023,singlish,english,SOFT
8048,singlish,english,SOFT
8050,singlish,english,SOFT
8054,singlish,english,SOFT
8127,singlish,english,SOFT
8141,singlish,english,SOFT
8228,singlish,english,SOFT
8260,singlish,english,SOFT
8264,singlish,english,SOFT
8326,singlish,english,SOFT
8331,singlish,english,SOFT
8337,singlish,english,SOFT
8481,singlish,english,SOFT
8536,singlish,english,SOFT
8540,singlish,english,SOFT
8541,singlish,english,SOFT
8545,singlish,english,SOFT
8559,singlish,english,SOFT
8581,singlish,english,SOFT
8598,singlish,english,SOFT
8603,singlish,english,SOFT
8607,singlish,english,SOFT
8611,singlish,english,SOFT
8613,singlish,english,SOFT
8637,singlish,english,SOFT
8639,singlish,english,SOFT
8644,singlish,english,SOFT
8659,singlish,english,SOFT
8669,singlish,english,SOFT
8670,singlish,english,SOFT
8690,singlish,english,SOFT
8696,singlish,english,SOFT
8697,singlish,english,SOFT
8742,singlish,english,SOFT
8751,singlish,english,SOFT
8761,singlish,english,SOFT
8848,singlish,english,SOFT
8857,singlish,english,SOFT
8870,singlish,english,SOFT
8898,singlish,english,SOFT
9016,singlish,english,SOFT
9024,singlish,english,SOFT
9096,singlish,english,SOFT
9107,singlish,english,SOFT
9193,singlish,english,SOFT
9349,singlish,english,SOFT
9460,singlish,english,SOFT
9471,singlish,english,SOFT
9474,singlish,english,SOFT
9482,singlish,english,SOFT
9483,singlish,english,SOFT
9489,singlish,english,SOFT
9495,singlish,english,SOFT
9512,singlish,english,SOFT
9517,singlish,english,SOFT
9901,singlish,english,SOFT
9916,singlish,english,SOFT
9937,singlish,english,SOFT
9943,singlish,english,SOFT
9968,singlish,english,SOFT
9975,singlish,english,SOFT
9997,singlish,english,SOFT
10006,singlish,english,SOFT
10012,singlish,english,SOFT
10019,singlish,english,SOFT
10024,singlish,english,SOFT
10031,singlish,english,SOFT
10038,singlish,english,SOFT
10066,singlish,english,SOFT
10069,singlish,english,SOFT
10072,singlish,english,SOFT
10075,singlish,english,SOFT
10084,singlish,english,SOFT
10111,singlish,english,SOFT
10120,singlish,english,SOFT
10122,singlish,english,SOFT
5090,singlish,english,SOFT
10045,singlish,english,SOFT
7178,english,singlish,SOFT
8187,english,singlish,SOFT
966,english,singlish,SOFT
1003,english,singlish,SOFT
1954,english,singlish,SOFT
2269,english,singlish,SOFT
2486,english,singlish,SOFT
2815,english,singlish,SOFT
2882,english,singlish,SOFT
3190,english,singlish,SOFT
3636,english,singlish,SOFT
4599,english,singlish,SOFT
5439,english,singlish,SOFT
5738,english,singlish,SOFT
7025,english,singlish,SOFT
1788,english,singlish,SOFT
3336,english,singlish,SOFT
491,english,singlish,SOFT
1580,english,singlish,SOFT
1685,english,singlish,SOFT
1910,english,singlish,SOFT
1948,english,singlish,SOFT
2100,english,singlish,SOFT
2208,english,singlish,SOFT
2262,english,singlish,SOFT
2704,english,singlish,SOFT
3081,english,singlish,SOFT
6312,english,singlish,SOFT
7134,english,singlish,SOFT
9018,english,singlish,SOFT
9134,english,singlish,SOFT
609,english,singlish,SOFT
6891,english,singlish,SOFT
483,english,singlish,SOFT
2500,english,singlish,SOFT
5664,english,singlish,SOFT
2784,english,singlish,SOFT
295,english,singlish,SOFT
490,english,singlish,SOFT
508,english,singlish,SOFT
618,english,singlish,SOFT
1434,english,singlish,SOFT
1462,english,singlish,SOFT
1794,english,singlish,SOFT
1973,english,singlish,SOFT
1988,english,singlish,SOFT
2710,english,singlish,SOFT
3182,english,singlish,SOFT
3588,english,singlish,SOFT
4529,english,singlish,SOFT
5592,english,singlish,SOFT
5829,english,singlish,SOFT
5991,english,singlish,SOFT
6362,english,singlish,SOFT
6444,english,singlish,SOFT
6451,english,singlish,SOFT
6610,english,singlish,SOFT
6718,english,singlish,SOFT
6952,english,singlish,SOFT
7619,english,singlish,SOFT
6954,english,singlish,SOFT
528,english,singlish,SOFT
3325,english,singlish,SOFT
504,english,singlish,SOFT
1118,english,singlish,SOFT
1231,english,singlish,SOFT
3845,english,singlish,SOFT
4785,english,singlish,SOFT
5878,english,singlish,SOFT
6191,english,singlish,SOFT
6398,english,singlish,SOFT
1022,english,singlish,SOFT
6570,english,singlish,SOFT
7702,english,singlish,SOFT
294,english,singlish,SOFT
494,english,singlish,SOFT
517,english,singlish,SOFT
763,english,singlish,SOFT
975,english,singlish,SOFT
1046,english,singlish,SOFT
1476,english,singlish,SOFT
1530,english,singlish,SOFT
2221,english,singlish,SOFT
2445,english,singlish,SOFT
2843,english,singlish,SOFT
3146,english,singlish,SOFT
3630,english,singlish,SOFT
3990,english,singlish,SOFT
4079,english,singlish,SOFT
5451,english,singlish,SOFT
6523,english,singlish,SOFT
7138,english,singlish,SOFT
7287,english,singlish,SOFT
7646,english,singlish,SOFT
7857,english,singlish,SOFT
7900,english,singlish,SOFT
8098,english,singlish,SOFT
8134,english,singlish,SOFT
8683,english,singlish,SOFT
3095,english,singlish,SOFT
1025,english,singlish,SOFT
3323,english,singlish,SOFT
753,english,singlish,SOFT
3370,english,singlish,SOFT
994,english,singlish,SOFT
1327,english,singlish,SOFT
1498,english,singlish,SOFT
2826,english,singlish,SOFT
6924,english,singlish,SOFT
1771,english,singlish,SOFT
2215,english,singlish,SOFT
3525,english,singlish,SOFT
4644,english,singlish,SOFT
6132,english,singlish,SOFT
6518,english,singlish,SOFT
6522,english,singlish,SOFT
8441,english,singlish,SOFT
9058,english,singlish,SOFT
542,english,singlish,SOFT
1574,english,singlish,SOFT
2229,english,singlish,SOFT
2498,english,singlish,SOFT
2507,english,singlish,SOFT
3310,english,singlish,SOFT
3362,english,singlish,SOFT
4733,english,singlish,SOFT
77,english,singlish,SOFT
1955,english,singlish,SOFT
2292,english,singlish,SOFT
2595,english,singlish,SOFT
2936,english,singlish,SOFT
5130,english,singlish,SOFT
8246,english,singlish,SOFT
1785,english,singlish,SOFT
2447,english,singlish,SOFT
2510,english,singlish,SOFT
3389,english,singlish,SOFT
5655,english,singlish,SOFT
2605,english,singlish,SOFT
843,english,singlish,SOFT
1081,english,singlish,SOFT
1420,english,singlish,SOFT
1996,english,singlish,SOFT
2055,english,singlish,SOFT
2604,english,singlish,SOFT
3339,english,singlish,SOFT
3447,english,singlish,SOFT
3594,english,singlish,SOFT
3816,english,singlish,SOFT
4007,english,singlish,SOFT
4082,english,singlish,SOFT
4142,english,singlish,SOFT
4341,english,singlish,SOFT
4438,english,singlish,SOFT
4611,english,singlish,SOFT
6165,english,singlish,SOFT
6316,english,singlish,SOFT
6426,english,singlish,SOFT
6580,english,singlish,SOFT
6615,english,singlish,SOFT
6980,english,singlish,SOFT
8250,english,singlish,SOFT
9297,english,singlish,SOFT
8169,english,singlish,SOFT
562,english,singlish,SOFT
740,english,singlish,SOFT
1599,english,singlish,SOFT
2835,english,singlish,SOFT
5159,english,singlish,SOFT
5810,english,singlish,SOFT
625,english,singlish,SOFT
1366,english,singlish,SOFT
6019,english,singlish,SOFT
6103,english,singlish,SOFT
1618,english,singlish,SOFT
2010,english,singlish,SOFT
2912,english,singlish,SOFT
3294,english,singlish,SOFT
6283,english,singlish,SOFT
2927,english,singlish,SOFT
2953,english,singlish,SOFT
4456,english,singlish,SOFT
512,english,singlish,SOFT
524,english,singlish,SOFT
821,english,singlish,SOFT
980,english,singlish,SOFT
1305,english,singlish,SOFT
2022,english,singlish,SOFT
2562,english,singlish,SOFT
2908,english,singlish,SOFT
3308,english,singlish,SOFT
4342,english,singlish,SOFT
5218,english,singlish,SOFT
6425,english,singlish,SOFT
793,english,singlish,SOFT
1378,english,singlish,SOFT
2846,english,singlish,SOFT
4200,english,singlish,SOFT
4299,english,singlish,SOFT
4314,english,singlish,SOFT
6302,english,singlish,SOFT
8756,english,singlish,SOFT
3549,english,singlish,SOFT
4199,english,singlish,SOFT
5457,english,singlish,SOFT
2,sinhala,code-mixed,SOFT
9,sinhala,code-mixed,SOFT
12,sinhala,code-mixed,SOFT
42,sinhala,code-mixed,SOFT
103,sinhala,code-mixed,SOFT
124,sinhala,code-mixed,SOFT
127,sinhala,code-mixed,SOFT
128,sinhala,code-mixed,SOFT
132,sinhala,code-mixed,SOFT
136,sinhala,code-mixed,SOFT
139,sinhala,code-mixed,SOFT
146,sinhala,code-mixed,SOFT
159,sinhala,code-mixed,SOFT
162,sinhala,code-mixed,SOFT
167,sinhala,code-mixed,SOFT
168,sinhala,code-mixed,SOFT
191,sinhala,code-mixed,SOFT
192,sinhala,code-mixed,SOFT
193,sinhala,code-mixed,SOFT
198,sinhala,code-mixed,SOFT
201,sinhala,code-mixed,SOFT
206,sinhala,code-mixed,SOFT
210,sinhala,code-mixed,SOFT
218,sinhala,code-mixed,SOFT
219,sinhala,code-mixed,SOFT
220,sinhala,code-mixed,SOFT
224,sinhala,code-mixed,SOFT
225,sinhala,code-mixed,SOFT
227,sinhala,code-mixed,SOFT
230,sinhala,code-mixed,SOFT
232,sinhala,code-mixed,SOFT
239,sinhala,code-mixed,SOFT
253,sinhala,code-mixed,SOFT
257,sinhala,code-mixed,SOFT
267,sinhala,code-mixed,SOFT
284,sinhala,code-mixed,SOFT
289,sinhala,code-mixed,SOFT
312,sinhala,code-mixed,SOFT
327,sinhala,code-mixed,SOFT
332,sinhala,code-mixed,SOFT
337,sinhala,code-mixed,SOFT
346,sinhala,code-mixed,SOFT
389,sinhala,code-mixed,SOFT
396,sinhala,code-mixed,SOFT
442,sinhala,code-mixed,SOFT
1587,sinhala,code-mixed,SOFT
1593,sinhala,code-mixed,SOFT
1600,sinhala,code-mixed,SOFT
1604,sinhala,code-mixed,SOFT
1606,sinhala,code-mixed,SOFT
1611,sinhala,code-mixed,SOFT
1615,sinhala,code-mixed,SOFT
1617,sinhala,code-mixed,SOFT
1619,sinhala,code-mixed,SOFT
1623,sinhala,code-mixed,SOFT
1625,sinhala,code-mixed,SOFT
1627,sinhala,code-mixed,SOFT
1629,sinhala,code-mixed,SOFT
1632,sinhala,code-mixed,SOFT
1633,sinhala,code-mixed,SOFT
1634,sinhala,code-mixed,SOFT
1637,sinhala,code-mixed,SOFT
1638,sinhala,code-mixed,SOFT
1641,sinhala,code-mixed,SOFT
1645,sinhala,code-mixed,SOFT
1653,sinhala,code-mixed,SOFT
1654,sinhala,code-mixed,SOFT
1668,sinhala,code-mixed,SOFT
1680,sinhala,code-mixed,SOFT
1682,sinhala,code-mixed,SOFT
1686,sinhala,code-mixed,SOFT
1689,sinhala,code-mixed,SOFT
1690,sinhala,code-mixed,SOFT
1692,sinhala,code-mixed,SOFT
1694,sinhala,code-mixed,SOFT
1697,sinhala,code-mixed,SOFT
1707,sinhala,code-mixed,SOFT
1711,sinhala,code-mixed,SOFT
1716,sinhala,code-mixed,SOFT
1730,sinhala,code-mixed,SOFT
1731,sinhala,code-mixed,SOFT
1734,sinhala,code-mixed,SOFT
1737,sinhala,code-mixed,SOFT
1741,sinhala,code-mixed,SOFT
1742,sinhala,code-mixed,SOFT
1745,sinhala,code-mixed,SOFT
1872,sinhala,code-mixed,SOFT
2148,sinhala,code-mixed,SOFT
2161,sinhala,code-mixed,SOFT
2747,sinhala,code-mixed,SOFT
2759,sinhala,code-mixed,SOFT
3082,sinhala,code-mixed,SOFT
3107,sinhala,code-mixed,SOFT
3112,sinhala,code-mixed,SOFT
3775,sinhala,code-mixed,SOFT
5124,sinhala,code-mixed,SOFT
5126,sinhala,code-mixed,SOFT
5140,sinhala,code-mixed,SOFT
5164,sinhala,code-mixed,SOFT
5215,sinhala,code-mixed,SOFT
5227,sinhala,code-mixed,SOFT
5232,sinhala,code-mixed,SOFT
5234,sinhala,code-mixed,SOFT
5253,sinhala,code-mixed,SOFT
5263,sinhala,code-mixed,SOFT
5297,sinhala,code-mixed,SOFT
5356,sinhala,code-mixed,SOFT
5364,sinhala,code-mixed,SOFT
5367,sinhala,code-mixed,SOFT
5394,sinhala,code-mixed,SOFT
5403,sinhala,code-mixed,SOFT
5410,sinhala,code-mixed,SOFT
5422,sinhala,code-mixed,SOFT
5442,sinhala,code-mixed,SOFT
5465,sinhala,code-mixed,SOFT
5561,sinhala,code-mixed,SOFT
5565,sinhala,code-mixed,SOFT
5579,sinhala,code-mixed,SOFT
5612,sinhala,code-mixed,SOFT
5645,sinhala,code-mixed,SOFT
5890,sinhala,code-mixed,SOFT
6010,sinhala,code-mixed,SOFT
6022,sinhala,code-mixed,SOFT
6052,sinhala,code-mixed,SOFT
6153,sinhala,code-mixed,SOFT
6176,sinhala,code-mixed,SOFT
6208,sinhala,code-mixed,SOFT
6232,sinhala,code-mixed,SOFT
6261,sinhala,code-mixed,SOFT
6262,sinhala,code-mixed,SOFT
6263,sinhala,code-mixed,SOFT
6410,sinhala,code-mixed,SOFT
6467,sinhala,code-mixed,SOFT
6485,sinhala,code-mixed,SOFT
6513,sinhala,code-mixed,SOFT
6517,sinhala,code-mixed,SOFT
6595,sinhala,code-mixed,SOFT
6596,sinhala,code-mixed,SOFT
6597,sinhala,code-mixed,SOFT
6600,sinhala,code-mixed,SOFT
6604,sinhala,code-mixed,SOFT
6675,sinhala,code-mixed,SOFT
6688,sinhala,code-mixed,SOFT
6697,sinhala,code-mixed,SOFT
6698,sinhala,code-mixed,SOFT
6702,sinhala,code-mixed,SOFT
6785,sinhala,code-mixed,SOFT
6786,sinhala,code-mixed,SOFT
6899,sinhala,code-mixed,SOFT
6909,sinhala,code-mixed,SOFT
6960,sinhala,code-mixed,SOFT
7026,sinhala,code-mixed,SOFT
7030,sinhala,code-mixed,SOFT
7050,sinhala,code-mixed,SOFT
7056,sinhala,code-mixed,SOFT
7110,sinhala,code-mixed,SOFT
7112,sinhala,code-mixed,SOFT
7115,sinhala,code-mixed,SOFT
7116,sinhala,code-mixed,SOFT
7187,sinhala,code-mixed,SOFT
7190,sinhala,code-mixed,SOFT
7193,sinhala,code-mixed,SOFT
7511,sinhala,code-mixed,SOFT
7516,sinhala,code-mixed,SOFT
7562,sinhala,code-mixed,SOFT
8075,sinhala,code-mixed,SOFT
8089,sinhala,code-mixed,SOFT
8096,sinhala,code-mixed,SOFT
8119,sinhala,code-mixed,SOFT
8375,sinhala,code-mixed,SOFT
8421,sinhala,code-mixed,SOFT
8427,sinhala,code-mixed,SOFT
8428,sinhala,code-mixed,SOFT
8472,sinhala,code-mixed,SOFT
8740,sinhala,code-mixed,SOFT
8788,sinhala,code-mixed,SOFT
8806,sinhala,code-mixed,SOFT
8811,sinhala,code-mixed,SOFT
8812,sinhala,code-mixed,SOFT
8817,sinhala,code-mixed,SOFT
8956,sinhala,code-mixed,SOFT
8967,sinhala,code-mixed,SOFT
9083,sinhala,code-mixed,SOFT
9098,sinhala,code-mixed,SOFT
9150,sinhala,code-mixed,SOFT
9276,sinhala,code-mixed,SOFT
27,sinhala,code-mixed,SOFT
244,sinhala,code-mixed,SOFT
57,sinhala,code-mixed,SOFT
66,sinhala,code-mixed,SOFT
1519,sinhala,code-mixed,SOFT
1640,sinhala,code-mixed,SOFT
7279,sinhala,code-mixed,SOFT
