id,text,sentiment_label,split,manual,expected,verdict,has_sinhala_script,latin_words,lexicon_hits,lexicon_hit_share
26,inspiring do more videos වැරදිච්ච තැන් fail වෙච්ච තැන් ඒවා solved කර ගත්ත විදිය ගැන වීඩියෝ එකක් ගෙන්න,neutral,test,code-mixed,code-mixed,OK,True,6,0,0.0
27,මම මගේ ඔලුව හදාගන්නේ ගෙමක් ගහන්න ඔනේ කියලා හිතාගාන්නේ වගෙම කරන්නේ අයියගේ විඩියෝ ඒ කලේ ඉදන්ම බලන කෙනෙක් මන් aduma gym යන්න පටන් ගත්තේත් ඉතිම්මෙ විඩියෝ එකත් බැලුවා ඔලුවට ගොඩක්ක් දෙවල් ගත්තා ඉසරහටත් ඔනේ අයියේ විඩියෝ,neutral,train,code-mixed,code-mixed,OK,True,2,1,0.5
28,mind decipline focas eka stable karagnn video ekak hari series ekak hari genna plz,negative,train,singlish,singlish,OK,False,14,6,0.429
29,machan loku capital akak onane oya wage store akak open karana may be 10m 15m eka kohomada hoyaganne,negative,train,singlish,singlish,OK,False,16,9,0.562
30,ayya waddek mama kemathi business development gana ilaga vlog wala katha karanawanam,negative,test,singlish,singlish,OK,False,12,5,0.417
31,2016 ඉදන් මම ඔයාව follow කරන්නෙ මාරම inspiration එකක් ගන්න පුලුවන් චරිතයක් respect aiya keep up the good work,positive,train,code-mixed,code-mixed,OK,True,9,1,0.111
32,negombo enakota msg ek danna aasai dakinna katha karanna kaapu katta gana ahan inna කොට got energy to live,negative,train,code-mixed,code-mixed,OK,True,18,6,0.333
33,colombo 7 first fitness එකත් ඔයාගෙද,neutral,val,code-mixed,code-mixed,OK,True,3,0,0.0
34,machang joel audio eka poddak awul but love the advice,negative,test,singlish,singlish,OK,False,10,3,0.3
35,carnage brand එක යටතේ shoes තියෙනවාද,neutral,train,code-mixed,code-mixed,OK,True,3,0,0.0
36,mata mathakai mn podi kale school of fitness yt channel eke video balanawa mr joel ara polawal gane gihin budget meal plan ehem kiyala denw passe carnage eka up wela eke owner mr joel kiyala dana gattama matath puduma una hithuna,negative,train,singlish,singlish,OK,False,41,21,0.512
37,අයියව දවසක live දකින්න ආසාවෙන් ඉන්න මම,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
38,ayye thawa one me wage knowledge sharing content,negative,train,singlish,singlish,OK,False,8,2,0.25
39,මේ චැනල් එකටත් sore එකත් add කලානම් හරි අයියා,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
40,දැම්ම ගමන්ම බලනව විතරක් නෙවෙයි අපි office එකෙත් කතා වෙනවා අයියේ,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
41,දිගටම vlogs දාන්න,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
42,මමටත් ඕනි ඔයා වගේ brand එකක් හදන්න අයියෙ මම ඒක වෙනුවෙන් ලොකු රිස්ක් එකක් අරං ඉන්නෙ මෙ වෙලාවෙ උපරිම උත්සහ කරනව මගෙ හීනෙ හැබැ කර ගන්න,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
43,මම clothing business එකක් පටන් ගන්න මේ දවස් වල වැඩ කරද්දී මේ video එක බැලුවේ thankyou so much,positive,train,code-mixed,code-mixed,OK,True,6,0,0.0
44,අය්යෙ ediucation english knowledge branding ගැන ඉගෙන ගත්තෙ කොහොමද,neutral,train,code-mixed,code-mixed,OK,True,4,0,0.0
45,තමන් දියුනු වෙලා තව කෙනෙක්ට ගොඩ යන්න පාර පෙන්නවා කියන්නේ ඒක ඔයාගෙ තියෙන මාරම quilt එකක් අයියේතව තවත් හරියන්න ඕනමගේ journey එකටත් ඔයාගේ story එක මම ගොඩක් වෙලාවට apply කරනවාthank you somuch,positive,test,code-mixed,code-mixed,OK,True,7,0,0.0
46,consistency is the key මේ video එක බලද්දි තේරෙන එකම දෙය තමයි success කියන්නෙ overnight ලැබෙන දෙයක් නෙවෙයි කියලා වැටෙන තැන් හිත බිඳෙන මොහොතන් doubt තියෙන කාලවල් අතරත් එකම direction එකට daily effort දාගෙන යන එකයි real game එක ඔයාගේ journey එක honest විදිහට share කරපු එකත් give up නොකර ගිය consistency එකත් බොහොම inspiring මේ වගේ real stories තමයි අනිත් අයටත් මටත් පුළුවන් කියලා විශ්වාසයක් දෙන්නේ respect your grind keep going this is just the beginning,positive,train,code-mixed,code-mixed,OK,True,32,0,0.0
47,කලින් video එකෙ මම vehicle වගෙ දෙවල් වලට වැඩි impressive එකක් නැ කියපු එක වැදුනා,neutral,train,code-mixed,code-mixed,OK,True,3,0,0.0
48,thankyou හැම comment එකකටම තව vlogs කරගෙන යන්න ලැබෙන ලොකු encouragement එකක් instagram connect වෙන්න ආස අයට joeltillekeratneigshmtd6cjd4ynl5mwf6bw,positive,train,code-mixed,code-mixed,OK,True,11,0,0.0
49,dial ekak thamai gemmac kollokollek unama thiyenna one moral eka ubata hodatama thiyenawa machn good luck,positive,train,singlish,singlish,OK,False,16,7,0.438
50,thanks aiye oya me vedio eken dunna dewal sahenna watinawa,positive,train,singlish,singlish,OK,False,10,6,0.6
51,enterpaner කෙනෙක් වෙනවා කියලා කට වචනෙට කිවුවට ඒ මානසික පිඩනය දාරාගන්න හැමොම බැ,negative,train,code-mixed,code-mixed,OK,True,1,0,0.0
52,oya othenta awe payn newei da car eken da,neutral,val,singlish,singlish,OK,False,9,6,0.667
53,aiyee mn it degree 1k කරන කෙනෙක් final year ඒත් මේක මගේ passion එක නෙවෙයි කියලා මට තේරෙන්න ගත්තේ degree එක කරගෙන යද්දි මම හොදටම දන්නවා මගේ passion එක මොකක්ද ද කියලා ඒත් මං දැන් ගොඩක් පරක්කු වැඩියි මොකද මම private uni එකක තමයි මගේ degree එක කරන්නෙ මගේ අම්මයි තාත්තයි ගොඩාක් මහන්සි වෙලා තමයි මාව මෙතනට ගෙනාවෙ මට 2026 ට අවුරුදු 23ක් වෙනවා මට තේරෙන්නේ නෑ මගේ ගමන මම කොතනින් පටන් ගන්නද කියලා මට එන pressure එක ගොඩක් වැඩියි මොකද මම මේ අවුරුද්දේ graduate වෙන නිසා ගෙදරින් කියනවා job එකක් හොයා ගන්න කියලා මාව එක තැනක හිර වෙලා වගේ මට මොනා කරන්න්ද කියලා හිතා ගන්න බෑ,negative,train,code-mixed,code-mixed,OK,True,15,1,0.067
54,very important vedio aiye mn oyage vedio danakam balan innepodcast dapu ewath okkoma balnwa oya me karana de apita loku shakthiyak gdk dewal igana gannawa thanks keep it up,positive,val,singlish,singlish,OK,False,29,12,0.414
55,sir den api ape software eke quality eka check kranna ai ekata denna puluvanne eka minihektabeginner vada hoda nedda,negative,test,singlish,singlish,OK,False,19,13,0.684
56,මම ai එක use කරන්නේ මට කම්මැලි කොටස් ganarate කරවා ගන්න උදාහරණයක් විඳියට ලංකාවේ දිස්ත්රික් 25 drop down එකකට දාන්න ඕනේ නම් ඒක මම ලියන්න ඕනේ නැහැ නේ අන්න ඒ වගේ එකක් gpt අයියට කියලා ලියා ගන්නවා,negative,train,code-mixed,code-mixed,OK,True,6,1,0.167
57,මුන්ගේ ජොබ් වලට කේලේවේනවා ai නිසා පිසේක වගේ කැගහනවා,negative,train,code-mixed,code-mixed,OK,True,1,1,1.0
58,මාත් webpages save කරගෙන ගෙදර ආවා ඒ කාලේ internet නැති නිසා,neutral,train,code-mixed,code-mixed,OK,True,3,0,0.0
59,aiye mama self learning start kerepu kenek habai mama concept igena ganne ai welin mama software engineer kiyanne mokkakde kiyalawath danna mama it field eke thiyena dewal kerranna try kerrenwa mama dnt personal project 2k haduwa web application wela front end mata methanin issrhrt mokade kerranna pulluwan earn path ekak hadaganna,negative,test,singlish,singlish,OK,False,50,21,0.42
60,මුලින්ම කිව්ව ebooks torrents pdf download කරගෙන බලන එක legally and ethically අවුල් තමයි හැබැයි එහෙම කියලා මම දන්න තරමින් ඒ පරිමාණයේ සමාගම් ඒ pirated stuff මිනිස්සු පාවිච්චි කරන එක පාලනය කරනවා මිසක් සම්පූර්ණයෙන් ම නවත්තන්න හදන්නෙත් නෑ මොකද ලෝකේ හැමෝටම ඔය සේවා ලබාගන්න තරම් වත්කමක් නෑ අඩුම ගානේ ඒ කාලේ මුදල් සහා access එක දෙකම දැන් තරම් සුලබ නැති නිසා හැබැයි එහෙම කියලා industry එකට ඕන කරන මොළ ටික skills ටික ඇතුලට නොගෙන ඉන්නත් බෑනේ,negative,train,code-mixed,code-mixed,OK,True,12,0,0.0
61,ලංකාවේ qt use කරන company මොනවද 2 experience තියන කෙනෙක්ට foreign country එකකට apply කරන එක සාර්ථක වෙයිද,neutral,train,code-mixed,code-mixed,OK,True,7,0,0.0
62,vibe codersla dan hire karanawa,neutral,test,singlish,singlish,OK,False,5,2,0.4
63,baluwa ayya math uom wala civil engineering karala dn 15 year wage ase knk widihata work karanawa channel eke hama video ekakma wage balala thiynawa thank you for your valuable effort,positive,train,singlish,singlish,OK,False,30,12,0.4
64,මේක කරන malli බලනවානම් මම 2001 තමයි pascal qbasic ඊටපස්සේ java 13ඉදන් java කලේ සල්ලි තිබ්බේ නෑ cr පොත් වල කොල අරන් පිටු පිරෙන්න code ලියනවා ලියල යාලුවන්ගේ ගෙවල් වලට ගිහින් pc එකේ ගහල බලනකොට 90ක්ම error free ආපු වැරදි හදන්න දවස් ගානක් යනවා තනියමම හදනවා කොහොම හරි අදටත් මගේ ළමයි ට java c උගන්වන කොට මුලින්ම කරවන්නේ notepad වලින් ඒක තවමත් වරදින්නේ නැතුව යන මොලේ හැදෙන ක්රමේ අද මේ වගේ ai tools use කරන්නත් දැනුමක් ඔනිවෙලා course ගානේ යන ළමයි ට වඩා hard code කරන අයට ai ලෝකේ පිනුම් ගහන්න පුළුවන් මනුත් මේක තේරුම් ගන්න තරන් අද මිනිස්සු හැදිලා නෑ කරන්න දෙයක් නෑ මගේ personal opninion එකනම් මුලින්ම කරන්න ඕනි hardest දේ හෙමිට හෙමිට ඊට පස්සේ ඕනිම දෙයක වැටෙන්නේ නැතුව growth එකක් ලබන්න අමාරු නෑ eg ai,negative,val,code-mixed,code-mixed,OK,True,25,4,0.16
65,great video 100 ඇත්ත video එක බලනකොට මගෙ අතීතෙ මතක් උනා sun microsystem එකෙන් java certification කරනකාලෙ java 5 15 ඉගෙනගත්තෙ java threads වැඩ කරන්නෙ කොහොමද exception hierarchy compile errors and runtime errors ඔක්කොම code එක බලල කියන්න පුලුවන් උනා එහෙම ඉගෙන ගත්ත නිසා ඊට පස්සෙ සෙට් උන හැම programming language එක්කම easily අල්ලගන්න පුලුවන් උනා ඔයා කියනව වගේ ai software engineer කෙනෙක්ගෙ productivity එක වැඩිකර ගන්න use කරනව මිසක් vibe code use කරල software engineer කෙනෙක් වෙන්න ගියොත් එහෙම අයට වෙන්නෙනම් ලොකුම විනාශයක්,negative,train,code-mixed,code-mixed,OK,True,31,1,0.032
66,මට පොඩි ප්රශ්නයක් ආවා ඔය කියන දේවල් දැනට කරගන්න බෑ කියමුකෝ 100ක්ම හැබැයි තව අවුරුදු දෙකකින් තුනකින් ඔය තත්ත්වේ ලොකුවටම වෙනස් වෙන්න පුලුවංනේ ගොඩාක්ම ඇඩ්වාන්ස් විදිහට ai වෙනස් වෙන්න පුලුවංනේ අන්න් එතනයි මට තියන අව්ල,negative,train,code-mixed,code-mixed,OK,True,1,1,1.0
67,business logics ඉගෙන ගන්නෙ කොහොමද aiye,neutral,val,code-mixed,code-mixed,OK,True,3,1,0.333
68,api me topic eka discord server eke chat ekak widihata katha karamu,neutral,train,singlish,singlish,OK,False,12,7,0.583
69,sirge videos godak watinawa big data ml engineering gana puluwanm video karannako e field eka godak competitive da kiyala,neutral,val,singlish,singlish,OK,False,18,7,0.389
70,ඔයා හරියටම හරි ai එකකින් මගේ skill එක replace කරන්න පුළුවන් කියන්නේ මම දියුණු වෙලා නැ,neutral,test,code-mixed,code-mixed,OK,True,3,1,0.333
71,මම මේ දවස් වල linux try කරනවා ඉගෙන ගන්න ඒකේ ගොඩක් command මම ai වලින් තමා අහගන්නේ මේ වැඩේට ai use කරන එක effective නැද්ද code generate නොකර issue එක මොකක්ද කියල ඉගෙන ගන්න හැටිත් video එකක් ගේන්නකෝ ගොඩක් වෙලාවට ප්රශ්නෙ ඇහුව ගමන් code එකත් එයා දෙනවා,negative,train,code-mixed,code-mixed,OK,True,12,2,0.167
72,thaman karana job role eka dan godaaak wenas wena gaman neda thiyenne ayya eka ganath ilaga video eka danawada monada wenas wenne kiyala possition eka software engineer wunata api karana role eka mona wage ewawalatada effect wenne kiyala chuttak danawada eka godaak hodai,negative,train,singlish,singlish,OK,False,43,27,0.628
73,athtama niyamai aiye pattama watinwa,positive,train,singlish,singlish,OK,False,5,2,0.4
74,අයියේ ඔයාගෙ python පාඩම් ටික නම් සුපිරියට තේරෙනව ඒ වගේ තව famous computer language එකක් කියලා දෙන්න,neutral,train,code-mixed,code-mixed,OK,True,4,0,0.0
75,chatgpt 5 ත් ආවා next year වෙද්දි ai වල අනාගතය ගැන ඊලග video එකේ කතා කරමු,neutral,train,code-mixed,code-mixed,OK,True,5,1,0.2
76,ආපු කාලේ ඉදල මේ දක්වා දාපු videos වලින් උපරිම දෙයක් දුන්න කෙනෙක්කවදාවත් බැලුවට පස්සෙ අයියෝ අපරාදේ කියල හිතුනේ නෑvideo එක පැයද දෙකද අදාල නෑමං ඉවරවෙනකල්ම බලනවා ගන්න දේවල් සෑහෙන්න තියෙනවාඅපේ data වලට එයාට දෙන්න පුලුවන් උපරිම සාදාරනයක් දෙනවාgood luck අයියා,positive,train,code-mixed,code-mixed,OK,True,5,0,0.0
77,oyge video marama watinawa puluwanan satiykt ekakwath danna plzzz,positive,train,singlish,singlish,OK,False,9,4,0.444
78,මට හම්බුණ හොදම podcast එකද මන්දා මේක නම්,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
79,මාරම video ekak සම්පූර්ණ manussayekwa wens karanna puluwan mechchara watina video ekk kawadawath hambela nh nikn loke thiyn watinma video ek wage mtnm mn meka සාමාන්යයෙන් daws deka thunakata seryk blnw thnk uu akke,neutral,train,code-mixed,code-mixed,OK,True,31,15,0.484
80,අනේ ඒ උනාට තරහයි අක්කිගොඩාක් කල් ගියා day vlog වත් දාන්නකො,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
81,කතාව ඇත්ත කලින් දැනගෙන හිටියත් අද තමා තේරුම් ගත්තේ thank u,positive,train,code-mixed,code-mixed,OK,True,1,0,0.0
82,මට අද මගේ සමීපම කෙනෙක් කියපු දෙයක් නිසා මමත් සෑහෙන්න හිතින් කඩන් වැටුනා සහ ඒ කෙනත් එක්ක මට තරහක් ඇති වුනා එහෙම ඉන්නකොට තමයි randomly මට මේ podacast එක recommend වුනේ මේ podcast එක පටන් ගන්න තැන ඉදලම wow නියමයි පටන් ගන්න තැන ඉදලම කියන දේවල් මාරම විදිහට දැනෙනවා සහ ගන්න දේවල් ගොඩාක් ඔයා කියනවා මේ ව් podcast එක ඉවර වෙද්දී මගෙ හිතේ තිබුන අර ප්රරශ්නෙට උත්තරේ මට ළැබුනා කවුරුත් කියන දෙයක් අහලා අපි මොක්ටද ඒ label එක අපිම අපිට දාගන්නේ කියලා මටම මං හිතුවා කොහොමහරි ඒ කෙනා මට එහෙම දෙයක් මට කියලා මගෙ හිත් රිදුනා වුනාට මට දැන් හිතෙනවා its ok ඒක මට ළැබුන blessing එකක් කියල හිතලා මං කොහොමහරි මගේ target වලට මං යන්වා එත්කොට දවසක මට එහෙම කියපු කෙනාම මං එක්ක එදාට මට මොනවා කියයිද කියලා බලමු thank you soo much lunapeech and thank you universe for recomend this worth podcast for me,positive,test,code-mixed,code-mixed,OK,True,27,0,0.0
83,ane akka oyata godak pin mm me prashne iddin mata mede ahanna lebune ahamben wage sthuthi oyata me dewal therumkarata,neutral,train,singlish,singlish,OK,False,20,12,0.6
84,thank you akkeoyage videos nisa man hungak hitha hada gaththame video 1 wagema hama 1kinma value 1k genawagodak pin akke,positive,test,singlish,singlish,OK,False,18,6,0.333
85,akke mata awurudu 25k weno mata hamawelema hitheno man adyapanika jeewithen hriyata karagaththe ne neda kiyala man al kare bio science walin mata aphu al karanna hitheno mata hithenne man fail manussayek widihata,negative,train,singlish,singlish,OK,False,32,15,0.469
86,වැලන්ටයින් එකට ඔන්න කෙල්ලො කොල්ලොන්ට ලැබෙන හොදම ඇඩ්වයිස් එක මන් ආසම හීන ලෝකවල ඉන්න කෙල්ලො කොල්ලො ඇහැරවන්න දෙන උපදෙස් වලට love u soo much luna,positive,test,code-mixed,code-mixed,OK,True,4,0,0.0
87,මම දැන් podcasts වලට thumbnails දාන විදිහට කැමති හරිම පිළිවෙලයි වගේ,neutral,test,code-mixed,code-mixed,OK,True,2,0,0.0
88,oya nisa jivithe godak dewal hadagtta kenek mama luna thnx oyata oyage life eka thawa thawa success wenna one,neutral,train,singlish,singlish,OK,False,19,12,0.632
89,podcasts එකක් එයි ද කියලා හිතුවා විතරයි thank you so much luna අක්කි,positive,train,code-mixed,code-mixed,OK,True,6,0,0.0
90,thank you so much akke oya nisa jiwithe aye aluthin patan gatta mama thank you,positive,train,singlish,singlish,OK,False,15,8,0.533
91,notification on kragena inne oyage video balanna ahanna,neutral,train,singlish,singlish,OK,False,8,4,0.5
92,mini podcast epa oya kyndewl jiwithet sahenna watin dewl please short podcast epaaa me podcast ahlmi mm nm hitha hadagnne,negative,test,singlish,singlish,OK,False,20,6,0.3
93,අහම්බෙන් දැක්ක මේ video එක මගේ ජීවිතේ වෙනස් කරාවි බලමු,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
94,woow ඔයාගෙ video එකක් බැලුවාම ඒ එන දැනුමගැම්ම මාරයිnext levelgood luck scipio,positive,train,code-mixed,code-mixed,OK,True,6,0,0.0
95,thnkz scipioඅදත් ලස්සන පාඩමක්,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
96,love you scipio oyawa dakina akath සතුටක්,positive,train,code-mixed,code-mixed,OK,True,6,1,0.167
97,මගේ ජීවිතේ මට ලැබෙන omens ගැන මම stuck වුණ ගොඩක් වෙලාවට ඔයා ආශිර්වාදයක් වෙලා vedios අරන් එනවා scipio you are blessings of our life scipio thankyou so much scipio,positive,train,code-mixed,code-mixed,OK,True,15,0,0.0
98,aiye mn oyage videos 23k withara thamai balala thiyenne thama mn low off attraction gana hoyann gaththama thamai oyage videos hanbune aththatama hrima lassanata karanawa oya channel eka e wagema godak dewal igena gnna puluwan,neutral,train,singlish,singlish,OK,False,33,23,0.697
99,scipio ayye oyage hama vlog ekakma marai e wgema creative life ekta gnn godak dewal thiynwa oyage vlogs walin mn dn addict wela oyage vlogs blanna,neutral,train,singlish,singlish,OK,False,25,13,0.52
100,daraz app එක ඔයාලට ලේසියෙන් playstore එකෙන් හෝ appstore එකෙන් ඩව්න්ලෝඩ් කරගන්න පුලුවන් නම ගැහුවා search කලා ඩව්න්ලෝඩ් කරගත්තා,neutral,test,code-mixed,code-mixed,OK,True,5,0,0.0
101,දාපු ඕඩර් එක my oder වල නැතම්,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
102,aiya mata daraz akne cash on dilavare dnna ba ai a,neutral,train,singlish,singlish,OK,False,10,5,0.5
103,ayye මට අර බෝවල තියෙන කොන්ඩකටු ඔර්ඩර් එකක් දෙන්න පුළුවන් ද,neutral,test,code-mixed,code-mixed,OK,True,1,0,0.0
104,odar dala epa nam retan karanna puluwanda,negative,train,singlish,singlish,OK,False,7,5,0.714
105,delivery day eka danne kohomada,neutral,train,singlish,singlish,OK,False,5,3,0.6
106,අයියේ emall එක දන්නේ කොහොමද,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
107,daraz eken cash on delivery nane plz problem eka should karanna,negative,train,singlish,singlish,OK,False,11,4,0.364
108,ayye mama daraz app eka dounlod caragaththa eth items avena,neutral,train,singlish,singlish,OK,False,10,3,0.3
109,dan cod වලට rs 100ක් add වෙනවා,neutral,train,code-mixed,code-mixed,OK,True,4,1,0.25
110,කොහමද daraz එකෙන් වැරදි අයිටම් එකක් අවොත් එයලට කියන්නෙ,neutral,train,code-mixed,code-mixed,OK,True,1,0,0.0
111,අය්යෙ මම otg cable එකක් ඔඩර් කරන්න හැදුව එකෙ ගාන 180 ඔඩර් කරන්න යද්දි මුලු එකතුව 360 කියල වැටෙනව,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
112,oyata delivery charge illuve nedda free delivery valin kohomadha badhu add karala ganne,negative,train,singlish,singlish,OK,False,13,5,0.385
113,ane thanks ada mama palaweni wathawata odar ekaka danna haduwe eth therunna oyage me video eka baluwata passe thamai den therenneman den smart watch ekak odar kara,positive,train,singlish,singlish,OK,False,27,15,0.556
114,cash on dilivery ඔප්ශන් එක පෙන්නන්නෙ නෑනෙ කිසිම බඩුවකට,neutral,test,code-mixed,code-mixed,OK,True,3,0,0.0
115,මං daraz එකෙන් oder එකක් දැම්මා දෙමලෙන්නෙ කෝල් එක ආවෙකොළඹ නම්බර් එකක්,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
116,පට්ට ෙහාරු electronic බඩුනම් ගන්න ඒපා කවුරැවත් වැඩකරන්නැති කුනුෙගාඩවල් ඒවන්ෙන් රිටන්කරාට reject කරනවා අහන්න ෙකෙනක් නැ බඩුත් නැ සල්ලිත් නෑ,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
117,අයියෙ මන් ඔඩර් කරට පස්සෙ ටික වෙලවකින් මැසෙජ් එකක් අවනෙ odar එක cancel කියලා මන් කාර්ඩ් payment එකක් කරෙ අයෙ එක ගන්න පුලුවන්ද මොකක්ද එකට කරන්න ඔනෙ,neutral,val,code-mixed,code-mixed,OK,True,3,0,0.0
118,අයියේ බඩු ගොඩක් ඔඩර් කරනකොට ඒ එක එක බඩු වලට වෙන වෙනම delivery eka denna onida අනේ ඉක්මනට කියන්නකෝ කවුරුහරි කමක් නෑ කියන්නකෝ,neutral,train,code-mixed,code-mixed,OK,True,4,3,0.75
119,අයියේ වෙනසකටත් එක්ක අපි kaitek shop එක ගැන කරමුද,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
120,සුපිරිය් අය්යේ මන් අයියගේ ben 10 reviews වලට තමා ආසම,neutral,train,code-mixed,code-mixed,OK,True,2,0,0.0
121,ela bn ela umba supiriyatama explane kala bn,positive,train,singlish,singlish,OK,False,8,5,0.625
122,ane mnda apith kano ath limit mkd kohoma gattath kada kema thel aye chicken stk power math weda karanna hotel ekaka api danno monawada wenna kiyala,neutral,train,singlish,singlish,OK,False,26,16,0.615
