61,මුලින්ම කිව්ව ebooks torrents pdf download කරගෙන බලන එක legally and ethically අවුල් තමයි හැබැයි එහෙම කියලා මම දන්න තරමින් ඒ පරිමාණයේ සමාගම් ඒ pirated stuff මිනිස්සු පාවිච්චි කරන එක පාලනය කරනවා මිසක් සම්පූර්ණයෙන් ම නවත්තන්න හදන්නෙත් නෑ මොකද ලෝකේ හැමෝටම ඔය සේවා ලබාගන්න තරම් වත්කමක් නෑ අඩුම ගානේ ඒ කාලේ මුදල් සහා access එක දෙකම දැන් තරම් සුලබ නැති නිසා හැබැයි එහෙම කියලා industry එකට ඕන කරන මොළ ටික skills ටික ඇතුලට නොගෙන ඉන්නත් බෑනේ,negative,youtube,D23u04Lehdg,,,
62,ලංකාවේ qt use කරන company මොනවද 2 experience තියන කෙනෙක්ට foreign country එකකට apply කරන එක සාර්ථක වෙයිද,neutral,youtube,D23u04Lehdg,,,
63,vibe codersla dan hire karanawa,neutral,youtube,D23u04Lehdg,,,
64,baluwa ayya math uom wala civil engineering karala dn 15 year wage ase knk widihata work karanawa channel eke hama video ekakma wage balala thiynawa thank you for your valuable effort,positive,youtube,D23u04Lehdg,,,
65,මේක කරන malli බලනවානම් මම 2001 තමයි pascal qbasic ඊටපස්සේ java 13ඉදන් java කලේ සල්ලි තිබ්බේ නෑ cr පොත් වල කොල අරන් පිටු පිරෙන්න code ලියනවා ලියල යාලුවන්ගේ ගෙවල් වලට ගිහින් pc එකේ ගහල බලනකොට 90ක්ම error free ආපු වැරදි හදන්න දවස් ගානක් යනවා තනියමම හදනවා කොහොම හරි අදටත් මගේ ළමයි ට java c උගන්වන කොට මුලින්ම කරවන්නේ notepad වලින් ඒක තවමත් වරදින්නේ නැතුව යන මොලේ හැදෙන ක්රමේ අද මේ වගේ ai tools use කරන්නත් දැනුමක් ඔනිවෙලා course ගානේ යන ළමයි ට වඩා hard code කරන අයට ai ලෝකේ පිනුම් ගහන්න පුළුවන් මනුත් මේක තේරුම් ගන්න තරන් අද මිනිස්සු හැදිලා නෑ කරන්න දෙයක් නෑ මගේ personal opninion එකනම් මුලින්ම කරන්න ඕනි hardest දේ හෙමිට හෙමිට ඊට පස්සේ ඕනිම දෙයක වැටෙන්නේ නැතුව growth එකක් ලබන්න අමාරු නෑ eg ai,negative,youtube,D23u04Lehdg,,,
66,great video 100 ඇත්ත video එක බලනකොට මගෙ අතීතෙ මතක් උනා sun microsystem එකෙන් java certification කරනකාලෙ java 5 15 ඉගෙනගත්තෙ java threads වැඩ කරන්නෙ කොහොමද exception hierarchy compile errors and runtime errors ඔක්කොම code එක බලල කියන්න පුලුවන් උනා එහෙම ඉගෙන ගත්ත නිසා ඊට පස්සෙ සෙට් උන හැම programming language එක්කම easily අල්ලගන්න පුලුවන් උනා ඔයා කියනව වගේ ai software engineer කෙනෙක්ගෙ productivity එක වැඩිකර ගන්න use කරනව මිසක් vibe code use කරල software engineer කෙනෙක් වෙන්න ගියොත් එහෙම අයට වෙන්නෙනම් ලොකුම විනාශයක්,negative,youtube,D23u04Lehdg,,,
67,මට පොඩි ප්රශ්නයක් ආවා ඔය කියන දේවල් දැනට කරගන්න බෑ කියමුකෝ 100ක්ම හැබැයි තව අවුරුදු දෙකකින් තුනකින් ඔය තත්ත්වේ ලොකුවටම වෙනස් වෙන්න පුලුවංනේ ගොඩාක්ම ඇඩ්වාන්ස් විදිහට ai වෙනස් වෙන්න පුලුවංනේ අන්න් එතනයි මට තියන අව්ල,negative,youtube,D23u04Lehdg,,,
68,business logics ඉගෙන ගන්නෙ කොහොමද aiye,neutral,youtube,D23u04Lehdg,,,
69,api me topic eka discord server eke chat ekak widihata katha karamu,neutral,youtube,D23u04Lehdg,,,
70,sirge videos godak watinawa big data ml engineering gana puluwanm video karannako e field eka godak competitive da kiyala,neutral,youtube,D23u04Lehdg,,,
71,ඔයා හරියටම හරි ai එකකින් මගේ skill එක replace කරන්න පුළුවන් කියන්නේ මම දියුණු වෙලා නැ,neutral,youtube,D23u04Lehdg,,,
72,මම මේ දවස් වල linux try කරනවා ඉගෙන ගන්න ඒකේ ගොඩක් command මම ai වලින් තමා අහගන්නේ මේ වැඩේට ai use කරන එක effective නැද්ද code generate නොකර issue එක මොකක්ද කියල ඉගෙන ගන්න හැටිත් video එකක් ගේන්නකෝ ගොඩක් වෙලාවට ප්රශ්නෙ ඇහුව ගමන් code එකත් එයා දෙනවා,negative,youtube,D23u04Lehdg,,,
73,thaman karana job role eka dan godaaak wenas wena gaman neda thiyenne ayya eka ganath ilaga video eka danawada monada wenas wenne kiyala possition eka software engineer wunata api karana role eka mona wage ewawalatada effect wenne kiyala chuttak danawada eka godaak hodai,negative,youtube,D23u04Lehdg,,,
74,athtama niyamai aiye pattama watinwa,positive,youtube,D23u04Lehdg,,,
75,අයියේ ඔයාගෙ python පාඩම් ටික නම් සුපිරියට තේරෙනව ඒ වගේ තව famous computer language එකක් කියලා දෙන්න,neutral,youtube,D23u04Lehdg,,,
76,chatgpt 5 ත් ආවා next year වෙද්දි ai වල අනාගතය ගැන ඊලග video එකේ කතා කරමු,neutral,youtube,D23u04Lehdg,,,
77,"ආපු කාලේ ඉදල මේ දක්වා දාපු videos  වලින් උපරිම දෙයක් දුන්න කෙනෙක්කවදාවත් බැලුවට පස්සෙ අයියෝ අපරාදේ කියල හිතුනේ නෑvideo එක පැයද දෙකද අදාල නෑමං ඉවරවෙනකල්ම බලනවා
ගන්න දේවල් සෑහෙන්න තියෙනවාඅපේ data වලට එයාට දෙන්න පුලුවන් උපරිම සාදාරනයක් දෙනවාgood luck අයියා",positive,youtube,D23u04Lehdg,,,
78,oyge video marama watinawa puluwanan satiykt ekakwath danna plzzz,positive,youtube,D23u04Lehdg,,,
79,මට හම්බුණ හොදම podcast එකද මන්දා මේක නම්,neutral,youtube,qGHWhwHZfqU,,,
80,මාරම video ekak සම්පූර්ණ manussayekwa wens karanna puluwan  mechchara watina video ekk kawadawath hambela nh nikn loke thiyn watinma video ek wage mtnm mn meka සාමාන්යයෙන් daws deka thunakata seryk blnw thnk uu akke,neutral,youtube,qGHWhwHZfqU,,,
81,අනේ ඒ උනාට තරහයි අක්කිගොඩාක් කල් ගියා day vlog වත් දාන්නකො,neutral,youtube,qGHWhwHZfqU,,,
82,කතාව ඇත්ත කලින් දැනගෙන හිටියත්  අද තමා තේරුම් ගත්තේ  thank u,positive,youtube,qGHWhwHZfqU,,,
83,මට අද මගේ සමීපම කෙනෙක් කියපු දෙයක් නිසා මමත් සෑහෙන්න හිතින් කඩන් වැටුනා සහ ඒ කෙනත් එක්ක මට තරහක් ඇති වුනා එහෙම ඉන්නකොට තමයි randomly මට මේ podacast එක recommend වුනේ මේ podcast එක පටන් ගන්න තැන ඉදලම wow නියමයි පටන් ගන්න තැන ඉදලම කියන දේවල් මාරම විදිහට දැනෙනවා සහ ගන්න දේවල් ගොඩාක් ඔයා කියනවා මේ ව් podcast එක ඉවර වෙද්දී මගෙ හිතේ තිබුන අර ප්රරශ්නෙට උත්තරේ මට ළැබුනා කවුරුත් කියන දෙයක් අහලා අපි මොක්ටද ඒ label එක අපිම අපිට දාගන්නේ කියලා මටම මං හිතුවා කොහොමහරි ඒ කෙනා මට එහෙම දෙයක් මට කියලා මගෙ හිත් රිදුනා වුනාට මට දැන් හිතෙනවා its ok  ඒක මට ළැබුන blessing එකක් කියල හිතලා මං කොහොමහරි මගේ target වලට මං යන්වා එත්කොට දවසක මට එහෙම කියපු කෙනාම මං එක්ක එදාට මට මොනවා කියයිද කියලා බලමු  thank you soo much lunapeech and thank you universe for recomend this worth podcast for me,positive,youtube,qGHWhwHZfqU,,,
84,ane akka oyata godak pin mm me prashne iddin mata mede ahanna lebune ahamben wage sthuthi oyata me dewal therumkarata,neutral,youtube,qGHWhwHZfqU,,,
85,thank you akkeoyage videos nisa man hungak hitha hada gaththame video 1 wagema hama 1kinma value 1k genawagodak pin akke,positive,youtube,qGHWhwHZfqU,,,
86,akke mata awurudu 25k weno mata hamawelema hitheno man adyapanika jeewithen hriyata karagaththe ne neda kiyala man al kare bio science walin mata aphu al karanna hitheno mata hithenne man fail manussayek widihata,negative,youtube,qGHWhwHZfqU,,,
87,වැලන්ටයින් එකට ඔන්න කෙල්ලො කොල්ලොන්ට ලැබෙන හොදම ඇඩ්වයිස් එක මන් ආසම හීන ලෝකවල ඉන්න කෙල්ලො කොල්ලො ඇහැරවන්න දෙන උපදෙස් වලට love u soo much luna,positive,youtube,qGHWhwHZfqU,,,
88,මම දැන් podcasts වලට thumbnails දාන විදිහට කැමති හරිම පිළිවෙලයි වගේ,neutral,youtube,qGHWhwHZfqU,,,
89,oya nisa jivithe godak dewal hadagtta kenek mama luna thnx oyata oyage life eka thawa thawa success wenna one,neutral,youtube,qGHWhwHZfqU,,,
90,podcasts එකක් එයි ද කියලා හිතුවා විතරයි thank you so much luna අක්කි,positive,youtube,qGHWhwHZfqU,,,
91,thank you so much akke oya nisa jiwithe aye aluthin patan gatta mama thank you,positive,youtube,qGHWhwHZfqU,,,
92,notification  on kragena inne oyage video balanna ahanna,neutral,youtube,qGHWhwHZfqU,,,
93,mini podcast epa oya kyndewl jiwithet sahenna watin dewl please short podcast epaaa me podcast ahlmi mm nm hitha hadagnne,negative,youtube,qGHWhwHZfqU,,,
94,අහම්බෙන් දැක්ක මේ video එක මගේ ජීවිතේ වෙනස් කරාවි බලමු,neutral,youtube,Pwz-Mg0O3F4,,,
95,woow ඔයාගෙ video එකක් බැලුවාම ඒ එන දැනුමගැම්ම මාරයිnext levelgood luck scipio,positive,youtube,Pwz-Mg0O3F4,,,
96,thnkz scipioඅදත් ලස්සන පාඩමක්,neutral,youtube,Pwz-Mg0O3F4,,,
97,love you scipio  oyawa dakina akath සතුටක්,positive,youtube,Pwz-Mg0O3F4,,,
98,"මගේ ජීවිතේ මට ලැබෙන omens ගැන මම stuck වුණ ගොඩක් වෙලාවට ඔයා ආශිර්වාදයක් වෙලා vedios අරන් එනවා scipio you are  blessings of our life scipio 
 thankyou so much scipio",positive,youtube,Pwz-Mg0O3F4,,,
99,aiye mn oyage videos 23k withara thamai balala thiyenne thama mn low off attraction gana hoyann gaththama thamai  oyage videos hanbune aththatama hrima lassanata karanawa oya channel eka  e wagema godak dewal igena gnna puluwan,neutral,youtube,Pwz-Mg0O3F4,,,
100,scipio ayye oyage hama vlog ekakma marai e wgema creative life ekta gnn godak dewal thiynwa oyage vlogs walin mn dn addict wela oyage vlogs blanna,neutral,youtube,Pwz-Mg0O3F4,,,
101,daraz app එක ඔයාලට ලේසියෙන් playstore එකෙන් හෝ appstore එකෙන් ඩව්න්ලෝඩ් කරගන්න පුලුවන් නම ගැහුවා search කලා ඩව්න්ලෝඩ් කරගත්තා,neutral,youtube,ZWVrlLysvMk,,,
102,දාපු ඕඩර් එක my oder    වල නැතම්,neutral,youtube,ZWVrlLysvMk,,,
103,aiya mata daraz  akne cash on dilavare  dnna ba ai  a,neutral,youtube,ZWVrlLysvMk,,,
104,ayye මට අර බෝවල තියෙන කොන්ඩකටු ඔර්ඩර් එකක් දෙන්න පුළුවන් ද,neutral,youtube,ZWVrlLysvMk,,,
105,odar dala epa nam retan karanna puluwanda,negative,youtube,ZWVrlLysvMk,,,
106,delivery day eka danne kohomada,neutral,youtube,ZWVrlLysvMk,,,
107,අයියේ emall එක  දන්නේ කොහොමද,neutral,youtube,ZWVrlLysvMk,,,
108,daraz eken cash on delivery nane  plz problem eka should karanna,negative,youtube,ZWVrlLysvMk,,,
109,ayye   mama   daraz   app  eka   dounlod   caragaththa   eth   items   avena,neutral,youtube,ZWVrlLysvMk,,,
110,dan cod වලට rs 100ක් add වෙනවා,neutral,youtube,ZWVrlLysvMk,,,
111,කොහමද daraz එකෙන් වැරදි අයිටම් එකක් අවොත් එයලට කියන්නෙ,neutral,youtube,ZWVrlLysvMk,,,
112,අය්යෙ මම otg cable එකක් ඔඩර් කරන්න හැදුව එකෙ ගාන 180 ඔඩර් කරන්න යද්දි මුලු එකතුව 360 කියල වැටෙනව,neutral,youtube,ZWVrlLysvMk,,,
113,oyata delivery charge illuve nedda free delivery valin kohomadha badhu add karala ganne,negative,youtube,ZWVrlLysvMk,,,
114,ane thanks ada mama palaweni wathawata odar ekaka danna haduwe eth therunna oyage me video eka baluwata passe thamai den therenneman den smart watch ekak odar kara,positive,youtube,ZWVrlLysvMk,,,
115,cash on dilivery ඔප්ශන් එක පෙන්නන්නෙ නෑනෙ කිසිම බඩුවකට,neutral,youtube,ZWVrlLysvMk,,,
116,මං daraz එකෙන් oder එකක් දැම්මා දෙමලෙන්නෙ කෝල් එක ආවෙකොළඹ නම්බර් එකක්,neutral,youtube,ZWVrlLysvMk,,,
117,පට්ට ෙහාරු  electronic බඩුනම් ගන්න ඒපා කවුරැවත්  වැඩකරන්නැති කුනුෙගාඩවල් ඒවන්ෙන්  රිටන්කරාට reject කරනවා  අහන්න ෙකෙනක් නැ බඩුත් නැ සල්ලිත් නෑ,neutral,youtube,ZWVrlLysvMk,,,
118,අයියෙ මන් ඔඩර් කරට පස්සෙ ටික වෙලවකින්  මැසෙජ් එකක් අවනෙ odar එක cancel කියලා  මන් කාර්ඩ් payment එකක් කරෙ  අයෙ එක ගන්න පුලුවන්ද මොකක්ද එකට කරන්න ඔනෙ,neutral,youtube,ZWVrlLysvMk,,,
119,අයියේ බඩු ගොඩක් ඔඩර් කරනකොට ඒ එක එක බඩු වලට වෙන වෙනම delivery eka denna onida  අනේ ඉක්මනට කියන්නකෝ කවුරුහරි කමක් නෑ කියන්නකෝ,neutral,youtube,ZWVrlLysvMk,,,
120,අයියේ වෙනසකටත් එක්ක අපි kaitek shop එක ගැන කරමුද,neutral,youtube,ZWVrlLysvMk,,,
121,"සුපිරිය් අය්යේ
මන් අයියගේ ben 10 reviews වලට තමා ආසම",neutral,youtube,ZWVrlLysvMk,,,
122,ela bn ela umba supiriyatama explane kala bn,positive,youtube,LX0KAbc58Vo,,,
123,ane mnda apith kano ath limit mkd kohoma gattath kada kema thel aye chicken stk power math weda karanna hotel ekaka api danno monawada wenna kiyala,neutral,youtube,LX0KAbc58Vo,,,
124,ඇයි chicken katu කන් නැත්තෙ අනේ,neutral,youtube,LX0KAbc58Vo,,,
125,ගොඩක් කට්ටියට මෙතනවෙන දේ තේරෙන්නැතුව ඇතිඇත්තම කතාව දන්නවද දන්නැත්නම්කියවලාම යන්න මේ කතාව see more,neutral,youtube,LX0KAbc58Vo,,,
126,supiriiiytma watunwa ekann 950ta,positive,youtube,LX0KAbc58Vo,,,
127,චම ඇත්තටම මම මුල ඉදම්ම video බලන්නදා ඔටගෙ තරහකට නෙවෙයී  ඔයගෙ නමින්මයි බැලුවේ jayal food chama කියලා  මම මෙක ගෙනුවා ඉයේ 15kg කිවුව නිසා අපි 3න් දෙනෙක්ට  ඇත්තටම එච්චර නෑ  අවුලක් නෑ එත් විඩියෝ එක බලා අපිට හරි idea ekk ganna thibboth hodai neda chama,neutral,youtube,LX0KAbc58Vo,,,
128,බත් 1kg කට වැඩියෙන් වගේ කෑවා නේදගෙදර 5 දෙනෙක් කන ප්රමාණය 1kg කියන්නෙ,neutral,youtube,LX0KAbc58Vo,,,
